"","LUAD16T","LUAD18T","LUAD1T","LUAD23T","PDO1","PDO2","PDO4","PDO5","PDO6","PDO23_MDO1_DIAPH","PDO23_MDO1_Liver","PDO23_MDO2_Brain","PDO6_MDO_Brain","PDO23_MDO3_GB"
"RP11-543P15.1",2.34587007828768,1.62231782592075,1.44158162886546,0.95234796672238,1.22786988832788,1.66144536712253,0.848634846624772,0.992675205059607,2.03832380568169,1.57622029350053,1.63442317396587,1.76408751070119,2.28641319300656,2.02833977525965
"RP11-742N3.1",2.41247933963537,5.02152072018477,4.28406914099614,5.0319180760451,3.79547683437262,4.6666195388397,4.26439467177931,2.31019050546123,3.43436392210656,1.86492953146162,2.13354620502833,2.07551180649864,3.9598698932592,2.7376687649759
"ZNF717",2.55689245666858,2.5193930621078,2.38528050457208,0.71000795223612,2.47599562060363,2.78430981629616,2.73818540850802,2.23634498761773,0.314684473678615,0.971523030455157,1.01909745884322,1.49162564131515,0.74882538202503,1.18322823237317
"EPPK1",4.5096684579016,5.38879745034149,5.41001778762671,0.418575284394474,6.12629824587674,5.33702354244398,5.34717453651325,6.38209301803779,6.31701265653887,0.0841416378076848,0.0722190640757937,0.159508906926231,5.73119644336695,0.424546080505824
"TRGC2",1.95701930451313,2.06372731087751,1.17257394162728,2.85717067351106,0,0.163737218990037,0,0,0,0,0,0,0,0
"ST7-AS1",1.62380621009611,1.79884038051074,1.78335731031884,1.20728506809762,2.2706174400997,1.71524236871703,2.37967074723828,0.731108736368223,1.61907803408164,1.32274803783638,1.09038991422824,0.862628451169248,2.28641319300656,0.872581427852167
"HCG15",0.214303737578328,0.104515767731617,0,1.05978608671209,0.0937095162488722,0.44419578232728,0,0,0,0.78298066729019,0.692418646890713,0.553485856539404,0,0.793420575114815
"RP11-203J24.8",0.111127408379756,0.406621955237927,0.672709519361798,0,0.417436450404331,0.0841902626779583,1.00071766274786,1.31313386766224,1.61907803408164,0,0.206640230328508,0,2.80482429500937,0
"WASH7P",4.14853030555743,5.23898972881729,4.04541414935972,1.55818933645423,4.55760082558119,4.38062910635702,4.41188954378443,3.73236726106242,4.32715735541777,3.01555257780703,3.25890078394928,3.35552988635952,4.2656893674334,3.34202798979177
"AC105760.2",0.111127408379756,1.07173351583781,0.992845713928934,0.924190011801982,1.30826185844869,1.01547890537092,1.00071766274786,0.411379750449019,0.512524566880252,1.97921528509877,1.77088364600882,2.15340097329572,1.01480956370486,2.07928837826096
"HCG4B",0.782951534914173,1.05444080842799,0.338028909902841,0.377630400875937,0.0937095162488722,1.45558883035518,0.263273666418429,0,1.10953651236971,0.443968448457897,0.14099464510807,0.303124637494556,0.806090163404083,0
"KLLN",1.02923038919297,0.633178931255332,1.25468428189191,0.80571793756088,1.98289688065686,2.06519545881831,1.22321257819749,1.45010268110783,1.10953651236971,1.05729312151973,1.01909745884322,0.233103096318009,0.861168450549343,0.833543879090981
"KRT16P2",4.47891590596415,4.89365485064208,6.67416243015592,0.866169728015586,5.98670044528461,4.80330327686298,4.50387203184856,8.19319075159673,2.05956811140799,0,0.14099464510807,0.0819578074275928,0.965391811276892,0.197407202241345
"PARG",3.69273059452473,3.33859471291039,3.83465342784208,3.40253088425738,4.06789312146158,3.76121601584167,4.30879105491366,4.51473206295609,5.25897715000982,3.98495767963269,4.25316124587429,3.44342514070792,4.75810289206206,3.90018081825801
"HNRNPKP2",0,0,0,0.377630400875937,0,0,0,0,0,1.79174359550106,1.53570651233528,1.07766367516282,0,1.30238210552151
